Turn LeftCX : 151  CY : 261
Turn LeftCX : 152  CY : 263
Turn LeftCX : 152  CY : 263
Turn LeftCX : 154  CY : 263
Turn LeftCX : 156  CY : 259
Turn LeftCX : 165  CY : 261
Turn LeftCX : 167  CY : 262
Turn LeftCX : 163  CY : 260
Turn LeftCX : 159  CY : 260
Turn LeftCX : 155  CY : 260
Turn LeftCX : 155  CY : 261
Turn LeftCX : 155  CY : 260
Turn LeftCX : 155  CY : 259
Turn LeftCX : 155  CY : 260
Turn LeftCX : 156  CY : 260
Turn LeftCX : 154  CY : 260
Turn LeftCX : 154  CY : 260
Turn LeftCX : 153  CY : 260
Turn LeftCX : 154  CY : 260
Turn LeftCX : 154  CY : 260
Turn LeftCX : 152  CY : 258
Turn LeftCX : 152  CY : 257
Turn LeftCX : 153  CY : 260
Turn LeftCX : 154  CY : 260
Turn LeftCX : 153  CY : 260
Turn LeftCX : 154  CY : 260
Turn LeftCX : 154  CY : 261
Turn LeftCX : 143  CY : 249
Turn LeftCX : 154  CY : 260
Turn LeftCX : 152  CY : 258
Turn LeftCX : 154  CY : 261
Turn LeftCX : 153  CY : 261
Turn LeftCX : 153  CY : 261
Turn LeftCX : 153  CY : 260
Turn LeftCX : 152  CY : 261
Turn LeftCX : 151  CY : 260
Turn LeftCX : 145  CY : 259
Turn LeftCX : 138  CY : 257
Turn LeftCX : 127  CY : 252
Turn LeftCX : 110  CY : 235
On Track!CX : 100  CY : 230
On Track!CX : 89  CY : 226
On Track!CX : 78  CY : 221
On Track!CX : 66  CY : 211
On Track!CX : 59  CY : 205
On Track!CX : 561  CY : 206
Turn LeftCX : 559  CY : 205
Turn LeftCX : 557  CY : 214
Turn LeftCX : 561  CY : 198
Turn LeftCX : 55  CY : 204
On Track!CX : 565  CY : 188
Turn LeftCX : 59  CY : 213
On Track!CX : 66  CY : 222
On Track!CX : 75  CY : 228
On Track!CX : 85  CY : 233
On Track!CX : 92  CY : 238
On Track!CX : 98  CY : 241
On Track!CX : 101  CY : 242
On Track!CX : 102  CY : 243
On Track!CX : 105  CY : 245
On Track!CX : 108  CY : 246
On Track!CX : 108  CY : 246
On Track!CX : 110  CY : 247
On Track!CX : 111  CY : 248
On Track!CX : 113  CY : 250
On Track!CX : 118  CY : 253
On Track!CX : 126  CY : 257
Turn LeftCX : 136  CY : 260
Turn LeftCX : 144  CY : 262
Turn LeftCX : 147  CY : 262
Turn LeftCX : 146  CY : 262
Turn LeftCX : 147  CY : 262
